# wl wmean ewmean
1.114530352228515767e+03 5.027664898960125583e+00 5.616320049366037015e-01
1.114930352228515858e+03 5.021204891594331698e+00 5.619673005872578564e-01
1.115330352228515949e+03 5.022098944361508721e+00 5.711626948511272506e-01
1.115730352228515812e+03 5.001643941874894139e+00 5.663143898413771637e-01
1.116130352228515676e+03 5.008562646790554851e+00 5.674548109675842111e-01
1.116530352228515767e+03 5.003826126054111256e+00 5.458513990090712031e-01
1.116930352228515858e+03 5.018850448813839904e+00 5.570310483575258154e-01
1.117330352228515721e+03 5.018236608346608563e+00 5.374553944058173549e-01
1.117730352228515585e+03 5.012573895581811101e+00 5.288442830651359783e-01
1.118130352228515676e+03 5.011922650726226003e+00 5.492636183051954335e-01
1.118530352228515767e+03 4.998664384807993244e+00 5.402062572553338882e-01
1.118930352228515630e+03 4.979297324698531035e+00 5.295639600276103032e-01
1.119330352228515494e+03 5.003932717514379291e+00 5.204406284684993667e-01
1.119730352228515585e+03 5.032453257719050832e+00 5.326389737475446529e-01
1.120130352228515676e+03 5.021800656976171950e+00 5.301271879644052776e-01
1.120530352228515540e+03 5.053408220184834931e+00 5.236703618432668739e-01
1.120930352228515403e+03 5.028242342288359978e+00 5.229442626354163792e-01
1.121330352228515494e+03 5.036806881572084116e+00 5.207492146465463323e-01
1.121730352228515585e+03 5.060381006840889206e+00 5.097128693805981214e-01
1.122130352228515449e+03 5.078824351534606762e+00 5.094360654442197101e-01
1.122530352228515312e+03 5.095515123116674872e+00 5.009920078705226709e-01
1.122930352228515403e+03 5.122483703421207402e+00 5.002164507768445123e-01
1.123330352228515494e+03 5.132078853052236767e+00 5.023317568731129334e-01
1.123730352228515358e+03 5.135511570904924383e+00 4.899025348598566865e-01
1.124130352228515221e+03 5.129275255794573773e+00 4.756866578745163610e-01
1.124530352228515312e+03 5.109639566156195301e+00 4.855212535209481595e-01
1.124930352228515403e+03 5.112230667351671087e+00 4.875683490057764469e-01
1.125330352228515267e+03 5.109089921228871845e+00 4.854097884911663940e-01
1.125730352228515130e+03 5.051586858312524519e+00 4.724528465474755468e-01
1.126130352228515221e+03 5.082915308497182316e+00 4.601806996578644560e-01
1.126530352228515312e+03 5.051217721305591546e+00 4.449467221346621870e-01
1.126930352228515176e+03 5.046367092591373726e+00 4.469210730995930581e-01
1.127330352228515039e+03 5.037385276647918353e+00 4.451437185731262347e-01
1.127730352228515130e+03 5.016517760922508451e+00 4.429813614908514330e-01
1.128130352228515221e+03 5.006291315967464683e+00 4.224347235074614182e-01
1.128530352228515085e+03 4.972404062798410962e+00 4.012629831920004331e-01
1.128930352228514948e+03 4.999226127887310689e+00 4.370085728617104648e-01
1.129330352228515039e+03 4.974430303167149958e+00 4.187768951620399194e-01
1.129730352228515130e+03 4.966880803685866930e+00 4.155518923796497899e-01
1.130130352228514994e+03 4.914109385825131682e+00 3.611034634981690195e-01
1.130530352228514857e+03 4.966283163596533434e+00 4.257637723651212514e-01
1.130930352228514948e+03 4.955209889997729711e+00 4.127401845261684521e-01
1.131330352228515039e+03 4.971217661607051141e+00 4.172335205072710829e-01
1.131730352228514903e+03 4.974207796188212072e+00 4.096303683589587186e-01
1.132130352228514766e+03 4.991556332898123394e+00 4.103843873674849485e-01
1.132530352228514857e+03 5.001980976586424710e+00 4.035389425039875855e-01
1.132930352228514948e+03 5.017933398953354995e+00 3.994545471246297996e-01
1.133330352228514812e+03 5.005588696525341774e+00 3.714381852893847702e-01
1.133730352228514676e+03 5.032054586129341089e+00 3.790844521609699203e-01
1.134130352228514766e+03 5.044545594923525833e+00 3.792008034902610847e-01
1.134530352228514857e+03 5.060437457617723567e+00 3.835430311800390180e-01
1.134930352228514721e+03 5.055891067673240258e+00 3.741692119298792862e-01
1.135330352228514585e+03 5.057588531149389333e+00 3.743555446440066103e-01
1.135730352228514676e+03 5.037264155183453163e+00 3.630987931031605664e-01
1.136130352228514766e+03 5.045304171105874147e+00 3.687784003581334735e-01
1.136530352228514630e+03 5.011558214023163593e+00 3.478045607909863723e-01
1.136930352228514494e+03 5.047959153523629006e+00 3.619724322508831027e-01
1.137330352228514585e+03 5.045946531273494351e+00 3.578899672217062400e-01
1.137730352228514676e+03 5.053068420604479805e+00 3.556152114331090353e-01
1.138130352228514539e+03 5.051044934909318940e+00 3.423201968753617486e-01
1.138530352228514403e+03 5.092274217272801273e+00 3.550528390538922885e-01
1.138930352228514494e+03 5.112237690855049976e+00 3.514414800017415796e-01
